Recipe name,MSKU Code,Recipe Type,Recipe Yield,Recipe Yield UOM,Ingredient Name,Ingredient Type,Ingredient ID,Ingredient Quantity,Ingredient UOM,Preparation,Sub-Recipe ID,Sub-Recipe Categories,Instructions,Allergen Contains,Recipe Score,Sub-Recipe Yield,Portion Qty,Portion Method,Method Color,Method Type,Sub-Allergens,Sub-Recipe EA to OZ,Sub-Recipe OZ to LBS,Sub-Recipe Raw Ingredient Weight (oz),Sub-Recipe Raw Ingredient Weight (lbs),Primary Packaging Sku Code,Compartment Name,Secondary Packaging Sku Codes
FV0160A - Beef Shepherds Pie [DKSE],REC-013396-4-003,R,1,portions,"FA-DE Cheese, White Cheddar, Shredded /Käse, weißer Cheddar, gerieben",I,DAI-00-139135-3,10,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,,,,,,,0.02205,0.35274,0.02205,PCK-00-151923-5,Main,
FV0160A - Beef Shepherds Pie [DKSE],REC-013396-4-003,R,1,portions,"Green beans - Plain S&P Roasted Green Beans, Whole",S,,110,grams,,SUB-013395-4-001,OVEN / BLAST CHILLER,,,,0.7671,"1
1","SCOOP
SCOOP","purple
white","LEVEL
LEVEL",,,0.24251,5.0582,0.31614,PCK-00-151923-5,2nd,

FV0232A - Herb Crusted Chicken [DE],REC-013836-4-006,R,1,portions,Herb-Crusted Chicken - 1 piece,S,,1,each,,SUB-013811-4-001,MARINADE / CRUSTED / OVEN / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
mash on bottom - 100g
crusted chicken on top - 1 EA

","EIER, MANDELN, MILCH (EINSCHLIESSLICH LAKTOSE), SCHALENFRÜCHTE, SENF",,0.73684,,,,,,4.93836,0.30865,6.70206,0.41888,PCK-00-151923-5,Main,
FV0232A - Herb Crusted Chicken [DE],REC-013836-4-006,R,1,portions,Mash - Garlic Herb Mashed Cauliflower - Rice,S,,100,grams,,SUB-013551-4-001,HAND MIX / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.97998,1,SCOOP,beige,LEVEL,,,0.22046,3.59945,0.22497,PCK-00-151923-5,Main,
FV0232A - Herb Crusted Chicken [DE],REC-013836-4-006,R,1,portions,Almonds - Garlic & Black Pepper Toasted Almonds,S,,6,grams,,SUB-013553-4-001,HAND MARINADE / OVEN / BLAST CHILLER,"2ND COMPARTMENT
1. green beans - 80g
2. toasted almonds - 6g
3. butter - 13g (1/2 scoop)

Net Weight: 339g","MANDELN, SCHALENFRÜCHTE",,0.81278,1,SCOOP,silver #110,NATURAL,,,0.01323,0.2604,0.01627,PCK-00-151923-5,2nd,
FV0232A - Herb Crusted Chicken [DE],REC-013836-4-006,R,1,portions,Green beans - oil and sea salt,S,,80,grams,,SUB-013552-4-001,OVEN / BLAST CHILLER,,,,0.76705,1,SCOOP,white,LEVEL,,,0.17637,3.6789,0.22993,PCK-00-151923-5,2nd,
FV0232A - Herb Crusted Chicken [DE],REC-013836-4-006,R,1,portions,Compound butter - Garlic Lemon Butter,S,,13,grams,,SUB-013547-4-001,PLANETARY MIXER / SCOOPER (BUTTER) / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.90575,13,HAND_PORTIONED,Hand Portioned,BY_TRAY,,,0.02866,0.50628,0.03164,PCK-00-151923-5,2nd,

FV0281A - Baja Salmon [BNL],REC-014197-4-006,R,1,portions,Mexican Cauliflower Rice,S,,120,grams,,SUB-014051-4-001,OVEN,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment
MAIN COMPARTMENT
120g cauliflower rice
1 ea salmon
12g butter",,,0.76391,1,SCOOP,grey,NATURAL,,,0.26455,5.54109,0.34632,PCK-00-151924-5,Main,
FV0281A - Baja Salmon [BNL],REC-014197-4-006,R,1,portions,Salmon - BAJA Salmon - Batch,S,,1,each,,SUB-014053-4-001,THAW / HAND MARINADE / OVEN / BLAST CHILLER,,"FISCH, SCHWEFELDIOXIDE UND SULFITE",,0.79681,1,HAND_PORTIONED,Hand Portioned,,,4.23288,0.26455,5.31226,0.33202,PCK-00-151924-5,Main,
FV0281A - Baja Salmon [BNL],REC-014197-4-006,R,1,portions,Compound butter - Chili-Garlic Butter - master batch,S,,12,grams,,SUB-014054-4-001,PLANETARY MIXER / SCOOPER (BUTTER) / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.97993,1,SCOOP,silver #110,LEVEL,,,0.02646,0.43196,0.027,PCK-00-151924-5,Main,
FV0281A - Baja Salmon [BNL],REC-014197-4-006,R,1,portions,Broccoli - S&P Broccoli FLORETS - less salt,S,,85,grams,,SUB-013822-4-001,HAND MIX,"2ND COMPARTMENT
85g broccoli florets",,,0.75359,1,SCOOP,grey,LEVEL,,,0.18739,3.97866,0.24867,PCK-00-151924-5,2nd,
FV0281A - Baja Salmon [BNL],REC-014197-4-006,R,1,portions,Sauce - Cilantro Sour Cream,S,,40,grams,,SUB-013701-4-001,IMMERSION BLENDER / CUPPING,"3RD COMPARTMENT
40g sauce Cupped

Total weight = 377g",MILCH (EINSCHLIESSLICH LAKTOSE),,0.8912,1,CUP,Cup,,,,0.08818,1.58321,0.09895,PCK-00-151924-5,3rd,

FV0281A - Baja Salmon [DE],REC-014197-4-004,R,1,portions,Mexican Cauliflower Rice,S,,120,grams,,SUB-014051-4-001,OVEN,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment
MAIN COMPARTMENT
120g cauliflower rice
1 ea salmon
12g butter",,,0.76391,1,SCOOP,grey,NATURAL,,,0.26455,5.54109,0.34632,PCK-00-151924-5,Main,
FV0281A - Baja Salmon [DE],REC-014197-4-004,R,1,portions,Salmon - BAJA Salmon - Batch,S,,1,each,,SUB-014053-4-001,THAW / HAND MARINADE / OVEN / BLAST CHILLER,,"FISCH, SCHWEFELDIOXIDE UND SULFITE",,0.79681,1,HAND_PORTIONED,Hand Portioned,,,4.23288,0.26455,5.31226,0.33202,PCK-00-151924-5,Main,
FV0281A - Baja Salmon [DE],REC-014197-4-004,R,1,portions,Compound butter - Chili-Garlic Butter - master batch,S,,12,grams,,SUB-014054-4-001,PLANETARY MIXER / SCOOPER (BUTTER) / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.97993,1,SCOOP,silver #110,LEVEL,,,0.02646,0.43196,0.027,PCK-00-151924-5,Main,
FV0281A - Baja Salmon [DE],REC-014197-4-004,R,1,portions,Broccoli - S&P Broccoli FLORETS - less salt,S,,85,grams,,SUB-013822-4-001,HAND MIX,"2ND COMPARTMENT
85g broccoli florets",,,0.75359,1,SCOOP,grey,LEVEL,,,0.18739,3.97866,0.24867,PCK-00-151924-5,2nd,
FV0281A - Baja Salmon [DE],REC-014197-4-004,R,1,portions,Sauce - Cilantro Sour Cream,S,,40,grams,,SUB-013701-4-001,IMMERSION BLENDER / CUPPING,"3RD COMPARTMENT
40g sauce Cupped

Total weight = 377g",MILCH (EINSCHLIESSLICH LAKTOSE),,0.8912,1,CUP,Cup,,,,0.08818,1.58321,0.09895,PCK-00-151924-5,3rd,

FV0281A - Baja Salmon [DKSE],REC-014197-4-005,R,1,portions,Mexican Cauliflower Rice,S,,120,grams,,SUB-014051-4-001,OVEN,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment
MAIN COMPARTMENT
120g cauliflower rice
1 ea salmon
12g butter",,,0.76391,1,SCOOP,grey,NATURAL,,,0.26455,5.54109,0.34632,PCK-00-151924-5,Main,
FV0281A - Baja Salmon [DKSE],REC-014197-4-005,R,1,portions,Salmon - BAJA Salmon - Batch,S,,1,each,,SUB-014053-4-001,THAW / HAND MARINADE / OVEN / BLAST CHILLER,,"FISCH, SCHWEFELDIOXIDE UND SULFITE",,0.79681,1,HAND_PORTIONED,Hand Portioned,,,4.23288,0.26455,5.31226,0.33202,PCK-00-151924-5,Main,
FV0281A - Baja Salmon [DKSE],REC-014197-4-005,R,1,portions,Compound butter - Chili-Garlic Butter - master batch,S,,12,grams,,SUB-014054-4-001,PLANETARY MIXER / SCOOPER (BUTTER) / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.97993,1,SCOOP,silver #110,LEVEL,,,0.02646,0.43196,0.027,PCK-00-151924-5,Main,
FV0281A - Baja Salmon [DKSE],REC-014197-4-005,R,1,portions,Broccoli - S&P Broccoli FLORETS - less salt,S,,85,grams,,SUB-013822-4-001,HAND MIX,"2ND COMPARTMENT
85g broccoli florets",,,0.75359,1,SCOOP,grey,LEVEL,,,0.18739,3.97866,0.24867,PCK-00-151924-5,2nd,
FV0281A - Baja Salmon [DKSE],REC-014197-4-005,R,1,portions,Sauce - Cilantro Sour Cream,S,,40,grams,,SUB-013701-4-001,IMMERSION BLENDER / CUPPING,"3RD COMPARTMENT
40g sauce Cupped

Total weight = 377g",MILCH (EINSCHLIESSLICH LAKTOSE),,0.8912,1,CUP,Cup,,,,0.08818,1.58321,0.09895,PCK-00-151924-5,3rd,

FV0322A - Sour Cream & Chive Chicken [DE],REC-014219-4-003,R,1,portions,Sour Cream and Chive Mashed Yukons (more salt),S,,110,grams,,SUB-014217-4-001,PLANETARY MIXER / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment
MAIN COMPARTMENT
Next to each other: 
1) 110g sour cream and chive mash
2) 60g broccoli
1 pc Chicken


",MILCH (EINSCHLIESSLICH LAKTOSE),,0.95705,1,SCOOP,grey,LEVEL,,,0.24251,4.05425,0.25339,PCK-00-151923-5,Main,
FV0322A - Sour Cream & Chive Chicken [DE],REC-014219-4-003,R,1,portions,Broccoli - Roasted S&P,S,,60,grams,,SUB-016200-4-001,OVEN / BLAST CHILLER,,,,0.7425,,,,,,,0.13228,2.85043,0.17815,PCK-00-151923-5,Main,
