Recipe Name,Recipe ID,Sub-Recipe 1 Name,Sub-Recipe 1 ID,Sub-Recipe 1 Quantity,Sub-Recipe 1 UOM,Sub-Recipe 1 Recipe Categories,Sub-Recipe 2 Name,Sub-Recipe 2 ID,Sub-Recipe 2 Quantity,Sub-Recipe 2 UOM,Sub-Recipe 2 Recipe Categories,Sub-Recipe 3 Name,Sub-Recipe 3 ID,Sub-Recipe 3 Quantity,Sub-Recipe 3 UOM,Sub-Recipe 3 Recipe Categories,Sub-Recipe 4 Name,Sub-Recipe 4 ID,Sub-Recipe 4 Quantity,Sub-Recipe 4 UOM,Sub-Recipe 4 Recipe Categories,Ingredient,Ingredient ID,Gross Ingredient Qty,Net Ingredient Qty,Ingredient UOM,Ingredient Allergen Type,Sub Allergen Type,Sub-Recipe Yield %,Qty Converted to Weight,Qty Unit
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Mustard Chicken Thigh Shredded [PENDING CULINARY REVIEW],SUB-013719-4-001,90,grams,"BLAST CHILLER, HOT SHREDDER, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,0.27,0.27,grams,,,1.00308,0.27,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Mustard Chicken Thigh Shredded [PENDING CULINARY REVIEW],SUB-013719-4-001,90,grams,"BLAST CHILLER, HOT SHREDDER, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Mustard, Dijon /Senf, Dijon",PRO-00-139276-5,4.05,4.05,grams,SENF,,1.00308,4.05,grams
Apricot Mustard Chicken Thigh [PENDING CULINARY REVIEW],SUB-013723-4-001,Mustard Chicken Thigh Shredded [PENDING CULINARY REVIEW],SUB-013719-4-001,90,grams,"BLAST CHILLER, HOT SHREDDER, MARINADE, OVEN",,,,,,,,,,,,,,,,"FA-DE Spice, Mustard Seed Ground, Dry /Gewürz, Senfkörner gemahlen, Trockenmasse",SPI-00-139369-5,0.54,0.54,grams,SENF,,1.00308,0.54,grams
Artichoke & Spinach Dip,SUB-013749-4-004,,,,,,,,,,,,,,,,,,,,,"FA-DE Artichoke Hearts , Canned/Artischockenherzen , Dose",PRO-00-139251-5,75,39,grams,,,,39,grams
Artichoke & Spinach Dip,SUB-013749-4-004,Thawed & Squeezed Frozen Spinach,SUB-013405-4-001,46,grams,"BLAST CHILLER, HAND MIX, OVEN",,,,,,,,,,,,,,,,"FA-DE Spinach, Frozen Leaf/Spinat, gefrorener Blattspinat",PHF-00-139242-1,57.44,57.44,grams,,,0.80087,57.44,grams
Artichoke & Spinach Dip,SUB-013749-4-004,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Garlic Granulated /Gewürz, Knoblauch granuliert",SPI-00-139353-5,1.07,1.07,grams,,,,1.07,grams
Artichoke & Spinach Dip,SUB-013749-4-004,,,,,,,,,,,,,,,,,,,,,FA-DE Sour Cream /Sauerrahm,DAI-00-139141-3,53,53,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,,53,grams
Artichoke & Spinach Dip,SUB-013749-4-004,,,,,,,,,,,,,,,,,,,,,"FA-DE Cheese, Cream 22% Fat /Käse, Sahne 22% Fett",DAI-00-139128-3,75,75,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,,75,grams
Artichoke & Spinach Dip,SUB-013749-4-004,,,,,,,,,,,,,,,,,,,,,"FA-DE Cheese, Parmesan, Grated /Käse, Parmesan, gerieben",DAI-00-139127-3,28,28,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,,28,grams
Artichoke & Spinach Dip,SUB-013749-4-004,,,,,,,,,,,,,,,,,,,,,FA-DE Heavy Cream 35% /Sahne 35%,DAI-00-148167-3,18,18,grams,MILCH (EINSCHLIESSLICH LAKTOSE),,,18,grams
Artichoke & Spinach Dip,SUB-013749-4-004,,,,,,,,,,,,,,,,,,,,,"FA-DE Spice, Sea Salt /Gewürze, Meersalz",SPI-00-139378-5,1.2,1.2,grams,,,,1.2,grams
