Recipe name,MSKU Code,Recipe Type,Recipe Yield,Recipe Yield UOM,Ingredient Name,Ingredient Type,Ingredient ID,Ingredient Quantity,Ingredient UOM,Preparation,Sub-Recipe ID,Sub-Recipe Categories,Instructions,Allergen Contains,Recipe Score,Sub-Recipe Yield,Portion Qty,Portion Method,Method Color,Method Type,Sub-Allergens,Sub-Recipe EA to OZ,Sub-Recipe OZ to LBS,Sub-Recipe Raw Ingredient Weight (oz),Sub-Recipe Raw Ingredient Weight (lbs),Primary Packaging Sku Code,Compartment Name,Secondary Packaging Sku Codes
FV0401A - Pulled chicken with cheddar and bacon [DKSE],REC-013941-4-007,R,1,portions,Shredded chicken - Keto Crack Chicken Thigh Batch,S,,140,grams,,SUB-013715-4-001,MARINADE / OVEN / HOT SHREDDER / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.6309,1,SCOOP,white,LEVEL,,,0.30865,7.82751,0.48922,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [DKSE],REC-013941-4-007,R,1,portions,"FA-DE Cheese, Red Cheddar/Käse, Roter Cheddar",I,DAI-00-139129-3,10,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,1,HAND_PORTIONED,Hand Portioned,,,,0.02205,0.35274,0.02205,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [DKSE],REC-013941-4-007,R,1,portions,Extra Crispy Diced Bacon,S,,10,grams,,SUB-013468-4-001,OVEN / DRAIN / BLAST CHILLER,,,,0.36735,1,SCOOP,purple,LEVEL,,,0.02205,0.96022,0.06001,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [DKSE],REC-013941-4-007,R,1,portions,Roasted Green Onions,S,,10,grams,,SUB-023370-4-001,OVEN / BLAST CHILLER,,,,0.85,1,SCOOP,purple,LEVEL,,,0.02205,0.41499,0.02594,PCK-00-151924-5,Main,
FV0401A - Pulled chicken with cheddar and bacon [DKSE],REC-013941-4-007,R,1,portions,Garlic Broccoli - less salt,S,,55,grams,,SUB-014208-4-002,OVEN / BLAST CHILLER,"2ND COMPARTMENT
55g = broccoli 
",,,0.77149,1,SCOOP,blue,LEVEL,,,0.12125,2.51472,0.15717,PCK-00-151924-5,2nd,
FV0401A - Pulled chicken with cheddar and bacon [DKSE],REC-013941-4-007,R,1,portions,Portobello - CBRSC Roasted Portobello's,S,,55,grams,,SUB-013717-4-001,OVEN / BLAST CHILLER,"3RD COMPARTMENT
55g = mushrooms 

NET WEIGHT: 330g",,,0.61956,1,SCOOP,green,LEVEL,,,0.12125,3.13135,0.19571,PCK-00-151924-5,3rd,

FV0413A - Braised beef in herby jus [DKSE],REC-014130-4-007,R,1,portions,Mash - Parmesan Cauli Mash w/ Chives,S,,120,grams,,SUB-014129-4-001,IMMERSION BLENDER / OVEN / BLAST CHILLER,"***PRODUCTION PLATING***
(From the bottom to the top)

2 Compartment

Main:
120g mash
80g beef
30g sauce
30g onions
15g cheese



NET WEIGHT: 275g
",MILCH (EINSCHLIESSLICH LAKTOSE),,0.99867,1,SCOOP,grey,LEVEL,,,0.26455,4.23852,0.26491,PCK-00-151923-5,Main,
FV0413A - Braised beef in herby jus [DKSE],REC-014130-4-007,R,1,portions,Shredded Sous Vide Beef,S,,80,grams,,SUB-013599-4-001,HAND MIX / COLD SHREDDER,,,,0.97997,1,SCOOP,green,NATURAL,,,0.17637,2.87959,0.17997,PCK-00-151923-5,Main,
FV0413A - Braised beef in herby jus [DKSE],REC-014130-4-007,R,1,portions,Sauce - for French Dip Shredded Beef,S,,30,grams,,SUB-014127-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,,,,0.902,1,SCOOP,black,LEVEL,,,0.06614,1.1732,0.07332,PCK-00-151923-5,Main,
FV0413A - Braised beef in herby jus [DKSE],REC-014130-4-007,R,1,portions,Onions - Caramelized Onions,S,,30,grams,,SUB-014017-4-001,SPICE PORTIONING / BRAISER / BLAST CHILLER,,,,0.56666,1,SCOOP,black,LEVEL,,,0.06614,1.86747,0.11672,PCK-00-151923-5,Main,
FV0413A - Braised beef in herby jus [DKSE],REC-014130-4-007,R,1,portions,"FA-DE Cheese, Emmentaler, Shredded /Käse, Emmentaler, gerieben",I,DAI-00-139134-3,15,grams,,,,,MILCH (EINSCHLIESSLICH LAKTOSE),,,1,SCOOP,purple,LEVEL,,,0.03307,0.52911,0.03307,PCK-00-151923-5,Main,
FV0413A - Braised beef in herby jus [DKSE],REC-014130-4-007,R,1,portions,Broccoli - S&P Broccoli FLORETS - less salt,S,,100,grams,,SUB-013822-4-001,SPICE PORTIONING / HAND MIX,"2nd: 
100g broccoli
12g butter

NET WEIGHT: 112g

TOTAL NET WEIGHT: 387g",,,0.75359,1,SCOOP,white,LEVEL,,,0.22046,4.68077,0.29255,PCK-00-151923-5,2nd,
FV0413A - Braised beef in herby jus [DKSE],REC-014130-4-007,R,1,portions,Compound butter - Parmesan-Chive,S,,12,grams,,SUB-013536-4-001,PLANETARY MIXER / SCOOPER (BUTTER) / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.97999,1,SCOOP,silver #60,LEVEL,,,0.02646,0.43193,0.027,PCK-00-151923-5,2nd,

FV0472A - Indian Butter Chicken [DKSE],REC-013852-4-001,R,1,portions,Diced chicken - Butter Chicken Batch - BA,S,,115,grams,,SUB-013850-4-001,MARINADE / OVEN / BLAST CHILLER,"***PLATING INSTRUCTIONS***
(From the bottom to the top)

2 Compartment

MAIN COMPARTMENT
115g = Chicken
115g =  Butter Chicken sauce
6g = Green Onion

SIDE COMPARTMENT
120g = Cauliflower Rice

NET WEIGHT = 356g","MILCH (EINSCHLIESSLICH LAKTOSE), SCHWEFELDIOXIDE UND SULFITE",,0.81911,1,SCOOP,white,NATURAL,,,0.25353,4.95233,0.30952,PCK-00-151923-5,Main,
FV0472A - Indian Butter Chicken [DKSE],REC-013852-4-001,R,1,portions,Sauce - Butter Chicken sauce,S,,115,grams,,SUB-013851-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,,"MILCH (EINSCHLIESSLICH LAKTOSE), SCHWEFELDIOXIDE UND SULFITE",,0.91418,1,SCOOP,grey,LEVEL,,,0.25353,4.43733,0.27733,PCK-00-151923-5,Main,
FV0472A - Indian Butter Chicken [DKSE],REC-013852-4-001,R,1,portions,Roasted Green Onions,S,,6,grams,,SUB-023370-4-001,OVEN / BLAST CHILLER,,,,0.85,1,SCOOP,purple,LEVEL,,,0.01323,0.24899,0.01556,PCK-00-151923-5,Main,
FV0472A - Indian Butter Chicken [DKSE],REC-013852-4-001,R,1,portions,Cauliflower rice - Cilantro and Lime Cauliflower Rice - BA,S,,120,grams,,SUB-013733-4-001,OVEN / BLAST CHILLER,,,,0.93012,1,SCOOP,white,LEVEL,,,0.26455,4.55092,0.28443,PCK-00-151923-5,2nd,

FV0601A - Mozzarella Burger & Roasted Potatoes [DKSE],REC-013423-4-004,R,1,portions,Roasted Garlic and Parsley Roasted Potato - SH,S,,115,grams,,SUB-013390-4-001,OVEN / BLAST CHILLER,"**PLATING INSTRUCTIONS**

MAIN: 
115g potatoes
14g mozz / parsley
1 each burger
14g mozz / parsley

",,,0.77545,1,SCOOP,white,LEVEL,,,0.25353,5.23118,0.32695,PCK-00-151924-5,Main,
FV0601A - Mozzarella Burger & Roasted Potatoes [DKSE],REC-013423-4-004,R,1,portions,Mozzarella + Parsley Mix,S,,14,grams,,SUB-013419-4-001,HAND MIX,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.99961,1,SCOOP,black,NATURAL,,,0.03086,0.49403,0.03088,PCK-00-151924-5,Main,
FV0601A - Mozzarella Burger & Roasted Potatoes [DKSE],REC-013423-4-004,R,1,portions,Beef Burger Master EU,S,,1,each,,SUB-031776-4-001,HORIZONTAL MIXER / PATTY MAKER / OVEN / BLAST CHILLER,,SCHWEFELDIOXIDE UND SULFITE,,0.63725,,,,,,4.58562,0.2866,7.19589,0.44974,PCK-00-151924-5,Main,
FV0601A - Mozzarella Burger & Roasted Potatoes [DKSE],REC-013423-4-004,R,1,portions,Mozzarella + Parsley Mix,S,,14,grams,,SUB-013419-4-001,HAND MIX,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.99961,1,SCOOP,black,NATURAL,,,0.03086,0.49403,0.03088,PCK-00-151924-5,Main,
FV0601A - Mozzarella Burger & Roasted Potatoes [DKSE],REC-013423-4-004,R,1,portions,Mixed veg - Summer Zucchini Roast,S,,85,grams,,SUB-013418-4-001,OVEN / BLAST CHILLER,"2ND: 
85g Zucchini Roast
",SCHWEFELDIOXIDE UND SULFITE,,0.72003,1,SCOOP,green,LEVEL,,,0.18739,4.16412,0.26026,PCK-00-151924-5,2nd,
FV0601A - Mozzarella Burger & Roasted Potatoes [DKSE],REC-013423-4-004,R,1,portions,Smokehouse Ketchup,S,,30,grams,,SUB-013422-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,"3RD:
30g cupped sauce

NET WEIGHT: 388g",SCHWEFELDIOXIDE UND SULFITE,,0.91477,1,CUP,Cup,,,,0.06614,1.15681,0.0723,PCK-00-151924-5,3rd,

FV0612A - Dijon Ground Beef & Mushroom Skillet [DKSE],REC-014010-4-004,R,1,portions,Roasted Potatoes,S,,110,grams,,SUB-013668-4-001,OVEN / BLAST CHILLER,"***PLATING
INSTRUCTIONS***
(From the bottom to the top)

1 Compartment

MAIN COMPARTMENT
110g roasted potatoes
80g roasted mushrooms, 
50g Roasted Red Onion
85g mushroom beef
55g Emmentaler fondue
5g scallions


Net Weight: 385g",,,0.76352,1,SCOOP,white,NATURAL,,,0.24251,5.08189,0.31762,PCK-00-151922-5,Main,
FV0612A - Dijon Ground Beef & Mushroom Skillet [DKSE],REC-014010-4-004,R,1,portions,Dry Roasted Mushrooms (thick),S,,80,grams,,SUB-014006-4-001,OVEN / BLAST CHILLER,,,,0.67871,1,SCOOP,beige,LEVEL,,,0.17637,4.15778,0.25986,PCK-00-151922-5,Main,
FV0612A - Dijon Ground Beef & Mushroom Skillet [DKSE],REC-014010-4-004,R,1,portions,Roasted Red Onion,S,,50,grams,,SUB-014007-4-001,OVEN / BLAST CHILLER,,,,0.79908,1,SCOOP,red,LEVEL,,,0.11023,2.20717,0.13795,PCK-00-151922-5,Main,
FV0612A - Dijon Ground Beef & Mushroom Skillet [DKSE],REC-014010-4-004,R,1,portions,Mushroom Swiss Beef (medium salt),S,,85,grams,,SUB-014302-4-001,BRAISER / BLAST CHILLER,,SENF,,0.95046,1,SCOOP,green,LEVEL,,,0.18739,3.15458,0.19716,PCK-00-151922-5,Main,
FV0612A - Dijon Ground Beef & Mushroom Skillet [DKSE],REC-014010-4-004,R,1,portions,Sauce - Emmentaler Fondue,S,,55,grams,,SUB-013671-4-001,SPICE PORTIONING / IMMERSION BLENDER / BRAISER / BLAST CHILLER,,MILCH (EINSCHLIESSLICH LAKTOSE),,0.9204,1,SCOOP,yellow,LEVEL,,,0.12125,2.10786,0.13174,PCK-00-151922-5,Main,
FV0612A - Dijon Ground Beef & Mushroom Skillet [DKSE],REC-014010-4-004,R,1,portions,Oven Roasted Scallions,S,,5,grams,,SUB-014172-4-001,OVEN / BLAST CHILLER,,,,0.55037,1,SCOOP,silver #60,LEVEL,,,0.01102,0.32046,0.02003,PCK-00-151922-5,Main,

