COOK METHODS,Site,Cook Shifts,4 Shifts Before,3 Shifts Before,2 Shifts Before,1 Shift Before,Same Day/Shift
MIXER/MEATBALL MACHINE/OVEN,AUR,4,STAGING,MIXER,,MEATBALL MACHINE,OVEN
MIXER/MEATBALL MACHINE/OVEN,AG,4,STAGING,MIXER,,MEATBALL MACHINE,OVEN
MIXER/OVEN,AUR,1,,,,STAGING,MIXER/OVEN
MIXER/OVEN,AG,1,,,,STAGING,MIXER/OVEN
MIXER/OVEN,BR,1,,,,STAGING,MIXER/OVEN
MIXER/OVEN/BRAISER,AUR,1,,,,STAGING,MIXER/BRAISER/OVEN
MIXER/OVEN/BRAISER,AG,1,,,,STAGING,MIXER/BRAISER/OVEN
MIXER/OVEN/BRAISER,BR,1,,,,STAGING,MIXER/BRAISER/OVEN
MIXER/PATTY MAKER/GRILL/OVEN,AUR,3,,STAGING,MIXER,PATTY MAKER,GRILL/OVEN
MIXER/PATTY MAKER/GRILL/OVEN,AG,3,,STAGING,MIXER,PATTY MAKER,GRILL/OVEN
MIXER/SCOOP,AUR,1,,,,STAGING,MIXER/SCOOP
MIXER/SCOOP,AG,1,,,,STAGING,MIXER/SCOOP
MIXER/SCOOP,BR,1,,,,STAGING,MIXER/SCOOP
MIXER/SCOOP (BUTTER),AUR,1,,,,STAGING,MIXER/SCOOP (BUTTER)
MIXER/SCOOP (BUTTER),AG,1,,,,STAGING,MIXER/SCOOP (BUTTER)
MIXER/SCOOP (BUTTER),BR,1,,,,STAGING,MIXER/SCOOP (BUTTER)
MIXER/SCOOPER (BUTTER),AUR,1,,,,STAGING,MIXER/SCOOPER (BUTTER)
MIXER/SCOOPER (BUTTER),AG,1,,,,STAGING,MIXER/SCOOPER (BUTTER)
MIXER/SCOOPER (BUTTER),BR,1,,,,STAGING,MIXER/SCOOPER (BUTTER)
OVEN,AUR,1,,,,STAGING,OVEN
OVEN,AG,1,,,,STAGING,OVEN
OVEN,BR,1,,,,STAGING,OVEN
OVEN/MIXER/SCOOP,AUR,1,,,,STAGING,OVEN/MIXER/SCOOP
OVEN/MIXER/SCOOP,AG,1,,,,STAGING,OVEN/MIXER/SCOOP
OVEN/MIXER/SCOOP,BR,1,,,,STAGING,OVEN/MIXER/SCOOP
OVEN/MIXER/SCOOP (BUTTER),AUR,1,,,,STAGING,OVEN/MIXER/SCOOP (BUTTER)
OVEN/MIXER/SCOOP (BUTTER),AG,1,,,,STAGING,OVEN/MIXER/SCOOP (BUTTER)
OVEN/MIXER/SCOOP (BUTTER),BR,1,,,,STAGING,OVEN/MIXER/SCOOP (BUTTER)
OVEN/MIXER/SCOOPER (BUTTER),AUR,1,,,,STAGING,OVEN/MIXER/SCOOPER (BUTTER)
OVEN/MIXER/SCOOPER (BUTTER),AG,1,,,,STAGING,OVEN/MIXER/SCOOPER (BUTTER)
OVEN/MIXER/SCOOPER (BUTTER),BR,1,,,,STAGING,OVEN/MIXER/SCOOPER (BUTTER)
OVEN/PRODUCTION,AUR,1,,,,STAGING,OVEN/PRODUCTION
OVEN/PRODUCTION,AG,1,,,,STAGING,OVEN/PRODUCTION
OVEN/PRODUCTION,BR,1,,,,STAGING,OVEN/PRODUCTION
OVEN/SHREDDER/MIXER,AUR,2,,,STAGING,OVEN,SHREDDER/MIXER
OVEN/SHREDDER/MIXER,AG,2,,,STAGING,OVEN,SHREDDER/MIXER
OVEN/SHREDDER/MIXER,BR,2,,,STAGING,OVEN,SHREDDER/MIXER
OVEN/SHREDDER,AG,2,,,STAGING,OVEN,SHREDDER
OVEN/SLICER,AUR,2,,,STAGING,OVEN,SLICER
OVEN/SLICER,AG,2,,,STAGING,OVEN,SLICER
PRODUCTION,AUR,1,,,,STAGING,PRODUCTION
PRODUCTION,AG,1,,,,STAGING,PRODUCTION
PRODUCTION,BR,1,,,,STAGING,PRODUCTION
SCOOP,AUR,1,,,,STAGING,SCOOP
SCOOP,AG,1,,,,STAGING,SCOOP
SCOOP,BR,1,,,,STAGING,SCOOP
SCOOP (BUTTER),AUR,1,,,,STAGING,SCOOP (BUTTER)
SCOOP (BUTTER),AG,1,,,,STAGING,SCOOP (BUTTER)
SCOOP (BUTTER),BR,1,,,,STAGING,SCOOP (BUTTER)
SCOOPER (BUTTER),AUR,1,,,,STAGING,SCOOPER (BUTTER)
SCOOPER (BUTTER),AG,1,,,,STAGING,SCOOPER (BUTTER)
SCOOPER (BUTTER),BR,1,,,,STAGING,SCOOPER (BUTTER)
VACUUM TUMBLER/AUTO COOK LINE,AG,2,,,STAGING,VACUUM TUMBLER,AUTO COOK LINE
VACUUM TUMBLER/ACL,AG,2,,,STAGING,VACUUM TUMBLER,ACL
VACUUM TUMBLER/GRILL/OVEN,AUR,2,,,STAGING,VACUUM TUMBLER,GRILL/OVEN
VACUUM TUMBLER/GRILL/OVEN,AG,2,,,STAGING,VACUUM TUMBLER,GRILL/OVEN
VACUUM TUMBLER/GRILL/OVEN/SLICER,AUR,3,,STAGING,VACUUM TUMBLER,GRILL/OVEN,SLICER
VACUUM TUMBLER/GRILL/OVEN/SLICER,AG,3,,STAGING,VACUUM TUMBLER,GRILL/OVEN,SLICER
VACUUM TUMBLER/MIXER/OVEN,AUR,2,,,STAGING,VACUUM TUMBLER,MIXER/OVEN
VACUUM TUMBLER/MIXER/OVEN,AG,2,,,STAGING,VACUUM TUMBLER,MIXER/OVEN
VACUUM TUMBLER/OVEN,AUR,2,,,STAGING,VACUUM TUMBLER,OVEN
VACUUM TUMBLER/OVEN,AG,2,,,STAGING,VACUUM TUMBLER,OVEN
SLICER,AUR,1,,,,STAGING,SLICER
SLICER,AG,1,,,,STAGING,SLICER
BRINE/OVEN,AUR,2,,,STAGING,BRINE,OVEN
BRINE/OVEN,AG,2,,,STAGING,BRINE,OVEN
BRINE/OVEN,BR,2,,,STAGING,BRINE,OVEN
BRINE/MARINADE/BRAISER/OVEN,AUR,2,,,STAGING,BRINE/MARINADE,BRAISER/OVEN
BRINE/MARINADE/BRAISER/OVEN,AG,2,,,STAGING,BRINE/MARINADE,BRAISER/OVEN
BRINE/MARINADE/BRAISER/OVEN,BR,2,,,STAGING,BRINE/MARINADE,BRAISER/OVEN
BRINE/MARINADE/OVEN/SHREDDER/MIXER,AUR,3,,STAGING,BRINE/MARINADE,OVEN,SHREDDER/MIXER
BRINE/MARINADE/OVEN/SHREDDER/MIXER,AG,3,,STAGING,BRINE/MARINADE,OVEN,SHREDDER/MIXER
BRINE/MARINADE/OVEN/SHREDDER/MIXER,BR,3,,STAGING,BRINE/MARINADE,OVEN,SHREDDER/MIXER
SHREDDER,AUR,1,,,,STAGING,SHREDDER
SHREDDER,AG,1,,,,STAGING,SHREDDER
SHREDDER,BR,1,,,,STAGING,SHREDDER
BRINE/BRAISER/OVEN,AUR,2,,,STAGING,BRINE,BRAISER/OVEN
BRINE/BRAISER/OVEN,AG,2,,,STAGING,BRINE,BRAISER/OVEN
BRINE/BRAISER/OVEN,BR,2,,,STAGING,BRINE,BRAISER/OVEN
BRINE/MARINADE/AUTO COOK LINE/SLICER,AG,3,,STAGING,BRINE/MARINADE,AUTO COOK LINE,SLICER
BRINE/MARINADE/ACL/SLICER,AG,3,,STAGING,BRINE/MARINADE,ACL,SLICER
VACUUM TUMBLER/AUTO COOK LINE/SLICER,AG,3,,STAGING,VACUUM TUMBLER,AUTO COOK LINE,SLICER
VACUUM TUMBLER/ACL/SLICER,AG,3,,STAGING,VACUUM TUMBLER,ACL,SLICER
DRY MIX,AUR,1,,,,STAGING,DRY MIX
DRY MIX,AG,1,,,,STAGING,DRY MIX
DRY MIX,BR,1,,,,STAGING,DRY MIX
COLD MIX/OVEN,AUR,1,,,,STAGING,COLD MIX/OVEN
COLD MIX/OVEN,AG,1,,,,STAGING,COLD MIX/OVEN
COLD MIX/OVEN,BR,1,,,,STAGING,COLD MIX/OVEN
HAND MIX/OVEN,AUR,1,,,,STAGING,HAND MIX/OVEN
HAND MIX/OVEN,AG,1,,,,STAGING,HAND MIX/OVEN
HAND MIX/OVEN,BR,1,,,,STAGING,HAND MIX/OVEN
MIXER/GRIDDLE,BR,1,,,,STAGING,MIXER/GRIDDLE
SHREDDER/COLD MIX,AUR,1,,,,STAGING,SHREDDER/COLD MIX
SHREDDER/COLD MIX,AG,1,,,,STAGING,SHREDDER/COLD MIX
SHREDDER/COLD MIX,BR,1,,,,STAGING,SHREDDER/COLD MIX
SHREDDER/HAND MIX,AUR,1,,,,STAGING,SHREDDER/HAND MIX
SHREDDER/HAND MIX,AG,1,,,,STAGING,SHREDDER/HAND MIX
SHREDDER/HAND MIX,BR,1,,,,STAGING,SHREDDER/HAND MIX
BRAISER/DRY MIX,AUR,1,,,,STAGING,BRAISER/DRY MIX
BRAISER/DRY MIX,AG,1,,,,STAGING,BRAISER/DRY MIX
BRAISER/DRY MIX,BR,1,,,,STAGING,BRAISER/DRY MIX
BRAISER/DRY MIX/OVEN,AUR,1,,,,STAGING,BRAISER/DRY MIX/OVEN
BRAISER/DRY MIX/OVEN,AG,1,,,,STAGING,BRAISER/DRY MIX/OVEN
BRAISER/DRY MIX/OVEN,BR,1,,,,STAGING,BRAISER/DRY MIX/OVEN
BRAISER,VF,1,,,,STAGING,BRAISER
BRAISER/GRILL/MIXER/OVEN/PATTY MAKER,VF,1,,,,STAGING,MIXER/PATTY MAKER/GRILL/OVEN/BRAISER
BRAISER/MIXER/SCOOP,VF,1,,,,STAGING,BRAISER/MIXER/SCOOP
BRAISER/MIXER/SCOOP (BUTTER),VF,1,,,,STAGING,BRAISER/MIXER/SCOOP (BUTTER)
BRAISER/MIXER/SCOOPER (BUTTER),VF,1,,,,STAGING,BRAISER/MIXER/SCOOPER (BUTTER)
BRAISER/OVEN,VF,1,,,,STAGING,BRAISER/OVEN
BRAISER/OVEN/MIXER/SCOOP,VF,1,,,,STAGING,BRAISER/OVENSTAGING/BRAISER/OVEN/MIXER/SCOOP
BRAISER/OVEN/PRODUCTION,VF,1,,,,STAGING,BRAISER/OVEN/PRODUCTION
BRAISER/PRODUCTION,VF,1,,,,STAGING,BRAISER/PRODUCTION
SHREDDER/OVEN/BRAISER,VF,1,,,,STAGING,BRAISER/OVEN/SHREDDER
BRINE/GRILL/OVEN,VF,1,,,STAGING,BRINE,GRILL/OVEN
BRINE/MARINADE/BRAISER/OVEN/SHREDDER,VF,1,,,STAGING,BRINE/MARINADE,BRAISER/OVEN/SHREDDER
BRINE/MARINADE/GRILL/OVEN,VF,1,,,STAGING,BRINE/MARINADE,GRILL/OVEN
BRINE/MARINADE/GRILL/OVEN/SLICER,VF,1,,,STAGING,STAGING,BRINE/MARINADE/GRILL/OVEN/SLICER
BRINE/MARINADE/MIXER/GRILL/OVEN,VF,1,,,STAGING,STAGING,BRINE/MARINADE/MIXER/GRILL/OVEN
BRINE/MARINADE/MIXER/OVEN,VF,1,,,STAGING,STAGING,BRINE/MARINADE/MIXER/OVEN
BRINE/MARINADE/OVEN,VF,1,,,STAGING,STAGING,BRINE/MARINADE/OVEN
BRINE/MARINADE/OVEN/SHREDDER,VF,1,,,STAGING,STAGING,BRINE/MARINADE/OVEN/SHREDDER
COLD MIX,VF,1,,,,STAGING,COLD MIX
HAND MIX,VF,1,,,,STAGING,HAND MIX
COLD MIX/MIXER,VF,1,,,,STAGING,MIXER/COLD MIX
HAND MIX/MIXER,VF,1,,,,STAGING,MIXER/HAND MIX
CUP MACHINE,VF,1,,,,STAGING,CUP MACHINE
CUPPING,VF,1,,,,STAGING,CUPPING
BRAISER/CUP MACHINE,VF,1,,,,STAGING,BRAISER/CUP MACHINE
BRAISER/CUPPING,VF,1,,,,STAGING,BRAISER/CUPPING
BRAISER/OVEN/CUP MACHINE,VF,1,,,,STAGING,BRAISER/OVEN/CUP MACHINE
BRAISER/OVEN/CUPPING,VF,1,,,,STAGING,BRAISER/OVEN/CUPPING
MIXER/CUP MACHINE,VF,2,,,STAGING,MIXER,CUP MACHINE
MIXER/CUPPING,VF,2,,,STAGING,MIXER,CUPPING
MIXER/BRAISER/CUP MACHINE,VF,2,,,STAGING,BRAISER/MIXER,CUP MACHINE
MIXER/BRAISER/CUPPING,VF,2,,,STAGING,BRAISER/MIXER,CUPPING
OVEN/CUP MACHINE,VF,1,,,,STAGING,OVEN/CUP MACHINE
OVEN/CUPPING,VF,1,,,,STAGING,OVEN/CUPPING
BRAISER/GRILL/OVEN/MARINADE,VF,2,,,STAGING,BRAISER/MARINADE,GRILL/OVEN
BRINE/MARINADE/BRAISER/GRILL/OVEN,VF,2,,,STAGING,BRAISER/BRINE/MARINADE,GRILL/OVEN
BRAISER/OVEN/MARINADE,VF,1,,,,STAGING,BRAISER/OVEN/MARINADE
MARINADE/GRILL/OVEN,VF,2,,,STAGING,MARINADE,GRILL/OVEN
OVEN/MARINADE,VF,2,,,STAGING,MARINADE,OVEN
MIXER,VF,1,,,,STAGING,MIXER
MIXER/BRAISER,VF,1,,,,STAGING,MIXER/BRAISER
MIXER/MEATBALL MACHINE/OVEN,VF,2,,,STAGING,MIXER/MEATBALL MACHINE,OVEN
MIXER/OVEN,VF,1,,,,STAGING,MIXER/OVEN
MIXER/OVEN/BRAISER,VF,1,,,,STAGING,MIXER/BRAISER/OVEN
MIXER/PATTY MAKER/GRILL/OVEN,VF,2,,,STAGING,MIXER/PATTY MAKER,GRILL/OVEN
MIXER/SCOOP,VF,1,,,,STAGING,MIXER/SCOOP
MIXER/SCOOP (BUTTER),VF,1,,,,STAGING,MIXER/SCOOP (BUTTER)
