"1","2","3","4","5","6","7","8","9","10","","","11","12","13","14","15","","16","17","18","19","20","21","22","","","","","20","","","","",""
"W19","","","COPY FROM D4 OUTPUT","","IMPORTS FROM MENU DATABASE","","","","","","","","","","","","","MEAL UPTAKE BY SLOT","","","","","","","","","","","","","","","",""
"Slot BNL","Slot NOR","Week","Count BNL","Count NOR","BNL Count w/ buffer","NOR Count w/ buffer","Recipe ID","BF SKU","BF Name","Dutch Name","Danish Name","Name","Internal SKU number (BNL)","Internal SKU number (NOR)","Price","Production buffer","","BNL","","","","NORD","","","","","W Average of last 3 weeks","WA incl Buffer ","Nordics + 6","BNL + 0.06% / 12 ","","","",""
"411","461","W31","493","140","505","146","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","411","493","","1.57%","461","140","","1.44%","","","","","","","","","0.0152950273"
"412","462","W31","587","201","599","207","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","412","587","","1.87%","462","201","","2.07%","","","","","","","","","0.01904025516"
"413","463","W31","1167","445","1179","451","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","413","1167","","3.71%","463","445","","4.59%","","","","","","","","","0.03895036969"
"414","464","W31","2214","490","2226","496","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","414","2214","","7.04%","464","490","","5.05%","","","","","","","","","0.065336104"
"415","465","W31","941","294","953","300","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W31","415","941","","2.99%","465","294","","3.03%","","","","","","","","","0.02984100904"
"401","451","W32","3856","1600","3879","1606","#REF!","#REF!","#REF!","#REF!","#REF!","#REF!","#REF!","#REF!","#REF!","","W32","401","3856","32268","11.95%","451","1600","12304","16.49%","","","","","","","","","0.1224086871"
"402","452","W32","3092","1128","3111","1134","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","402","3092","","9.58%","452","1128","","11.63%","","","","","","","","","0.09467827336"
"403","453","W32","4102","1414","4127","1420","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","403","4102","","12.71%","453","1414","","14.58%","","","","","","","","","0.1237548237"
"404","454","W32","4053","1570","4077","1576","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","404","4053","","12.56%","454","1570","","16.18%","","","","","","","","","0.1261554339"
"405","455","W32","2933","1434","2951","1440","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","405","2933","","9.09%","455","1434","","14.78%","","","","","","","","","0.097976308"
"406","456","W32","3133","1102","3152","1108","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","406","3133","","9.71%","456","1102","","11.36%","","","","","","","","","0.0950148075"
"407","457","W32","2109","790","2122","796","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","407","2109","","6.54%","457","790","","8.14%","","","","","","","","","0.06504083281"
"408","458","W32","2478","968","2493","974","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","408","2478","","7.68%","458","968","","9.98%","","","","","","","","","0.07731311137"
"409","459","W32","723","234","735","240","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","409","723","","2.24%","459","234","","2.41%","","","","","","","","","0.02147087858"
"410","460","W32","601","247","613","253","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","410","601","","1.86%","460","247","","2.55%","","","","","","","","","0.01902539711"
"411","461","W32","568","185","580","191","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","411","568","","1.76%","461","185","","1.91%","","","","","","","","","0.01689401418"
"412","462","W32","677","183","689","189","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","412","677","","2.10%","462","183","","1.89%","","","","","","","","","0.01929462443"
"413","463","W32","1955","710","1967","716","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","413","1955","","6.06%","463","710","","7.32%","","","","","","","","","0.05979090012"
"414","464","W32","1389","579","1401","585","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","414","1389","","4.30%","464","579","","5.97%","","","","","","","","","0.04415328009"
"415","465","W32","599","160","611","166","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W32","415","599","","1.86%","465","160","","1.65%","","","","","","","","","0.01702862784"
"401","451","W33","4301","2083","4327","2089","#REF!","#REF!","#REF!","#REF!","#REF!","#REF!","#REF!","#REF!","#REF!","","W33","401","4301","31867","13.50%","451","2083","14684","21.47%","","","","","","","","","0.1371399111"
"402","452","W33","2833","1474","2850","1480","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","402","2833","","8.89%","452","1474","","15.19%","","","","","","","","","0.09252217997"
"403","453","W33","2920","1258","2938","1264","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","403","2920","","9.16%","453","1258","","12.97%","","","","","","","","","0.08975102576"
"404","454","W33","3807","1655","3830","1661","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","404","3807","","11.95%","454","1655","","17.06%","","","","","","","","","0.117333677"
"405","455","W33","3407","1659","3427","1665","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","405","3407","","10.69%","455","1659","","17.10%","","","","","","","","","0.108826878"
"406","456","W33","2535","1220","2550","1226","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","406","2535","","7.95%","456","1220","","12.58%","","","","","","","","","0.08066421774"
"407","457","W33","2819","1268","2836","1274","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","407","2819","","8.85%","457","1268","","13.07%","","","","","","","","","0.08779618053"
"408","458","W33","2890","1355","2907","1361","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","408","2890","","9.07%","458","1355","","13.97%","","","","","","","","","0.0911903074"
"409","459","W33","966","307","978","313","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","409","966","","3.03%","459","307","","3.16%","","","","","","","","","0.02734635131"
"410","460","W33","638","334","650","340","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","410","638","","2.00%","460","334","","3.44%","","","","","","","","","0.02088032481"
"411","461","W33","448","208","460","214","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","411","448","","1.41%","461","208","","2.14%","","","","","","","","","0.01409207106"
"412","462","W33","520","210","532","216","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","412","520","","1.63%","462","210","","2.16%","","","","","","","","","0.01568172542"
"413","463","W33","1874","795","1886","801","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","413","1874","","5.88%","463","795","","8.20%","","","","","","","","","0.05733496595"
"414","464","W33","1235","652","1247","658","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","414","1235","","3.88%","464","652","","6.72%","","","","","","","","","0.04053618612"
"415","465","W33","674","206","686","212","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W33","415","674","","2.12%","465","206","","2.12%","","","","","","","","","0.01890399777"
